Equity Ratio,,,,,,,,,,,,
0.488833333,0.308478333,0.29434,0.280253333,0.27226,0.232608333,0.230081667,0.219581667,0.206236667,0.21993,0.208398333,0.196895,0.18968
0.279511667,0.4312,0.278328333,0.259995,0.259563333,0.227861667,0.207815,0.201653333,0.188401667,0.194676667,0.188508333,0.178805,0.174818333
0.256766667,0.248308333,0.377656667,0.26742,0.251306667,0.226598333,0.202923333,0.19311,0.180168333,0.177175,0.171188333,0.168278333,0.158906667
0.239126667,0.233351667,0.219651667,0.34335,0.257595,0.227061667,0.201173333,0.184018333,0.17227,0.161811667,0.161688333,0.156696667,0.155143333
0.229733333,0.220585,0.221523333,0.22138,0.29784,0.2246,0.199761667,0.185793333,0.175013333,0.157356667,0.159203333,0.14883,0.139901667
0.212465,0.199276667,0.18839,0.187623333,0.187605,0.260153333,0.201543333,0.193048333,0.17832,0.166376667,0.145675,0.144263333,0.135515
0.196151667,0.179465,0.16954,0.168241667,0.175268333,0.169895,0.237676667,0.195748333,0.16866,0.164028333,0.144265,0.14086,0.127601667
0.185728333,0.164715,0.158065,0.150173333,0.145781667,0.147441667,0.154026667,0.219506667,0.181415,0.16867,0.150763333,0.135466667,0.130786667
0.172081667,0.160305,0.14084,0.13704,0.13072,0.134613333,0.135218333,0.140671667,0.205693333,0.168973333,0.164501667,0.146231667,0.130546667
0.179911667,0.156988333,0.135336667,0.127905,0.114955,0.115571667,0.121845,0.13224,0.130898333,0.181308333,0.164265,0.15572,0.14369
0.17197,0.149691667,0.13152,0.118941667,0.113291667,0.10188,0.104865,0.114793333,0.127735,0.125596667,0.171386667,0.149138333,0.142285
0.16935,0.147515,0.124376667,0.118268333,0.111556667,0.102351667,0.099051667,0.098743333,0.099483333,0.111763333,0.11393,0.163915,0.130773333
0.160786667,0.134568333,0.128865,0.112203333,0.106613333,0.100386667,0.09873,0.089348333,0.09316,0.10277,0.092781667,0.08775,0.162196667
Percentage Ahead Compare To Average of All,,,,,,,,,,,,
193.30%,85.09%,76.60%,68.15%,63.36%,39.57%,38.05%,31.75%,23.74%,31.96%,25.04%,18.14%,13.81%
67.71%,158.72%,67.00%,56.00%,55.74%,36.72%,24.69%,20.99%,13.04%,16.81%,13.10%,7.28%,4.89%
54.06%,48.99%,126.59%,60.45%,50.78%,35.96%,21.75%,15.87%,8.10%,6.30%,2.71%,0.97%,-4.66%
43.48%,40.01%,31.79%,106.01%,54.56%,36.24%,20.70%,10.41%,3.36%,-2.91%,-2.99%,-5.98%,-6.91%
37.84%,32.35%,32.91%,32.83%,78.70%,34.76%,19.86%,11.48%,5.01%,-5.59%,-4.48%,-10.70%,-16.06%
27.48%,19.57%,13.03%,12.57%,12.56%,56.09%,20.93%,15.83%,6.99%,-0.17%,-12.59%,-13.44%,-18.69%
17.69%,7.68%,1.72%,0.95%,5.16%,1.94%,42.61%,17.45%,1.20%,-1.58%,-13.44%,-15.48%,-23.44%
11.44%,-1.17%,-5.16%,-9.90%,-12.53%,-11.53%,-7.58%,31.70%,8.85%,1.20%,-9.54%,-18.72%,-21.53%
3.25%,-3.82%,-15.50%,-17.78%,-21.57%,-19.23%,-18.87%,-15.60%,23.42%,1.38%,-1.30%,-12.26%,-21.67%
7.95%,-5.81%,-18.80%,-23.26%,-31.03%,-30.66%,-26.89%,-20.66%,-21.46%,8.79%,-1.44%,-6.57%,-13.79%
3.18%,-10.19%,-21.09%,-28.64%,-32.02%,-38.87%,-37.08%,-31.12%,-23.36%,-24.64%,2.83%,-10.52%,-14.63%
1.61%,-11.49%,-25.37%,-29.04%,-33.07%,-38.59%,-40.57%,-40.75%,-40.31%,-32.94%,-31.64%,-1.65%,-21.54%
-3.53%,-19.26%,-22.68%,-32.68%,-36.03%,-39.77%,-40.76%,-46.39%,-44.10%,-38.34%,-44.33%,-47.35%,-2.68%
