
Total Equity
83.71%,82.96%,82.20%,81.00%,79.79%,78.58%,77.38%,76.17%,74.96%,73.76%,72.55%,71.34%,70.14%,
68.33%,67.12%,66.37%,65.61%,64.40%,63.20%,61.99%,60.78%,59.58%,58.37%,57.16%,55.96%,54.75%,
52.94%,51.73%,50.53%,49.77%,49.02%,47.81%,46.61%,45.40%,44.19%,42.99%,41.78%,40.57%,39.37%,
37.56%,36.35%,35.14%,33.94%,33.18%,32.43%,31.22%,30.02%,28.81%,27.60%,26.40%,25.19%,23.98%,
22.17%,20.97%,19.76%,18.55%,17.35%,16.59%,15.84%,14.63%,13.42%,12.22%,11.01%,9.80%,8.60%,
6.79%,5.58%,3.17%,0.45%,1.36%,2.26%,99.55%,4.07%,4.37%,4.68%,4.98%,5.28%,6.49%,
7.69%,8.90%,10.11%,11.31%,12.52%,13.73%,14.93%,16.14%,17.04%,18.25%,19.46%,20.66%,21.87%,
23.08%,24.28%,25.49%,26.70%,27.90%,29.11%,30.32%,31.52%,32.73%,33.63%,34.84%,36.05%,37.25%,
38.46%,39.67%,40.87%,42.08%,43.29%,44.49%,45.70%,46.91%,48.11%,49.32%,50.23%,51.43%,52.64%,
53.85%,55.05%,56.26%,57.47%,58.67%,59.88%,61.09%,62.29%,63.50%,64.71%,65.91%,66.82%,68.02%,
69.23%,70.44%,71.64%,72.85%,74.06%,75.26%,76.47%,77.68%,78.88%,80.09%,81.30%,82.50%,83.41%,
84.62%,85.82%,87.03%,88.24%,89.44%,90.65%,91.86%,93.06%,94.27%,95.48%,96.68%,97.89%,99.10%,

